gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 20.0.0.2
gem5 compiled Sep 14 2020 15:06:02
gem5 started Sep 14 2020 15:19:30
gem5 executing on nanocad-server-testbed, pid 5439
command line: x86o --debug-flags=CoherentXBar simple.py

Global frequency set at 1000000000000 ticks per second
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1d00:1d3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1d00:1d3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1d40:1d7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1d40:1d7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1d80:1dbf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1d80:1dbf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1dc0:1dff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1dc0:1dff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1e00:1e3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1e00:1e3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1e40:1e7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1e40:1e7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1e80:1ebf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1e80:1ebf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1ec0:1eff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1ec0:1eff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1f00:1f3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1f00:1f3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1f40:1f7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1f40:1f7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1f80:1fbf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1f80:1fbf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1fc0:1fff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1fc0:1fff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2000:203f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2000:203f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2040:207f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2040:207f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2080:20bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2080:20bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [20c0:20ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [20c0:20ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2100:213f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2100:213f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2140:217f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2140:217f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2180:21bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2180:21bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [21c0:21ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [21c0:21ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2200:223f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2200:223f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2240:227f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2240:227f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2280:22bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2280:22bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [22c0:22ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [22c0:22ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2300:233f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2300:233f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2340:237f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2340:237f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2380:23bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2380:23bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [23c0:23ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [23c0:23ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2400:243f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2400:243f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2440:247f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2440:247f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2480:24bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2480:24bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [24c0:24ff]
